ranking,selection,param,mined,after_pruning,classifier,total_items,no_cov_ant,no_cov_rule,no_matches_train,no_matches_test,seed
1,select_coverage,1.0,37005,33061,39,263.0,0.0,0.0,0,0,5
1,select_coverage,2.0,37005,33061,85,605.0,0.0,0.0,0,0,5
1,select_coverage,3.0,37005,33061,132,969.0,0.0,0.0,0,0,5
1,select_coverage,4.0,37005,33061,175,1329.0,0.0,0.0,0,0,5
1,select_coverage_CBA_M1,,37005,33061,35,220.0,30.0,30.0,30,6,5
2,select_coverage,1.0,37005,33061,39,263.0,0.0,0.0,0,0,5
2,select_coverage,2.0,37005,33061,85,605.0,0.0,0.0,0,0,5
2,select_coverage,3.0,37005,33061,132,969.0,0.0,0.0,0,0,5
2,select_coverage,4.0,37005,33061,175,1329.0,0.0,0.0,0,0,5
2,select_coverage_CBA_M1,,37005,33061,35,220.0,30.0,30.0,30,6,5
1,select_coverage,1.0,37322,33376,37,253.0,0.0,0.0,0,0,14
1,select_coverage,2.0,37322,33376,82,583.0,0.0,0.0,0,0,14
1,select_coverage,3.0,37322,33376,129,946.0,0.0,0.0,0,0,14
1,select_coverage,4.0,37322,33376,171,1291.0,0.0,0.0,0,0,14
1,select_coverage_CBA_M1,,37322,33376,34,216.0,14.0,14.0,14,10,14
2,select_coverage,1.0,37322,33376,37,253.0,0.0,0.0,0,0,14
2,select_coverage,2.0,37322,33376,82,583.0,0.0,0.0,0,0,14
2,select_coverage,3.0,37322,33376,129,946.0,0.0,0.0,0,0,14
2,select_coverage,4.0,37322,33376,171,1291.0,0.0,0.0,0,0,14
2,select_coverage_CBA_M1,,37322,33376,34,216.0,14.0,14.0,14,10,14
1,select_coverage,1.0,37528,33535,37,253.0,0.0,0.0,0,0,17
1,select_coverage,2.0,37528,33535,84,609.0,0.0,0.0,0,0,17
1,select_coverage,3.0,37528,33535,126,934.0,0.0,0.0,0,0,17
1,select_coverage,4.0,37528,33535,165,1257.0,0.0,0.0,0,0,17
1,select_coverage_CBA_M1,,37528,33535,33,210.0,29.0,29.0,29,7,17
2,select_coverage,1.0,37528,33535,37,253.0,0.0,0.0,0,0,17
2,select_coverage,2.0,37528,33535,84,609.0,0.0,0.0,0,0,17
2,select_coverage,3.0,37528,33535,126,934.0,0.0,0.0,0,0,17
2,select_coverage,4.0,37528,33535,165,1257.0,0.0,0.0,0,0,17
2,select_coverage_CBA_M1,,37528,33535,34,216.0,20.0,20.0,20,4,17
1,select_coverage,1.0,37641,33619,37,253.0,0.0,0.0,0,0,19
1,select_coverage,2.0,37641,33619,84,610.0,0.0,0.0,0,0,19
1,select_coverage,3.0,37641,33619,127,946.0,0.0,0.0,0,0,19
