ranking,selection,param,strategy,acc_train,bacc_train,f1_train,mcc_train,erros_train,acc_test,bacc_test,f1_test,mcc_test,erros_test,seed
1,select_coverage,1.0,majority,0.8376908132112129,0.7414487879437351,0.7441278710663962,0.6675898548905821,8772,0.7787152161042037,0.6384417010890756,0.6461341685863365,0.5456184556865856,2990,5
1,select_coverage,1.0,cmar,0.8373577574243686,0.7368078336266919,0.7426686575907936,0.6656151580963494,8790,0.7810094730609828,0.6366602066424196,0.6463682455964284,0.5485643231310203,2959,5
1,select_coverage,1.0,top_k_avg,0.8427791655102229,0.7333140215459816,0.7441481097056757,0.675101459530857,8497,0.7841918294849023,0.6237985230593762,0.6395255046459448,0.548977800425742,2916,5
1,select_coverage,1.0,list,0.8427976686094921,0.7334187925192251,0.7442253189112914,0.67515015176907,8496,0.7842658377738306,0.6238985630753827,0.6395837060593633,0.5491822946709679,2915,5
1,select_coverage,2.0,majority,0.8309001757794431,0.7372826727415852,0.7345275542858344,0.6563148492870494,9139,0.7764949674363528,0.6418564481223924,0.6456909074184956,0.5451824410359134,3020,5
1,select_coverage,2.0,cmar,0.832343417522435,0.7333192565432238,0.7348082667466272,0.6573705905930853,9061,0.7797513321492007,0.638921315770668,0.6455836037735607,0.5491666276108642,2976,5
1,select_coverage,2.0,top_k_avg,0.8369691923397169,0.7279302131424995,0.7344947345576998,0.6648155051854729,8811,0.7831557134399053,0.6275699856458276,0.6403569044531613,0.5498763728414541,2930,5
1,select_coverage,2.0,list,0.8370061985382552,0.7280998981047078,0.734627518803249,0.6649060437186107,8809,0.7832297217288336,0.6276700256618339,0.6404162847637859,0.5500818487963466,2929,5
1,select_coverage,3.0,majority,0.8265704505504672,0.7345258162334205,0.7286718425176257,0.6492704785806368,9373,0.7736086441681468,0.6463205081097222,0.6461729355643347,0.5435721087921443,3059,5
1,select_coverage,3.0,cmar,0.8290313627532612,0.7310337144211748,0.7298421020085968,0.652067941524731,9240,0.7779751332149201,0.6435171648866936,0.6470112200404708,0.5489001369921959,3000,5
1,select_coverage,3.0,top_k_avg,0.8332315662873532,0.7239282029181315,0.7281526138904834,0.6582971513822956,9013,0.7823416222616933,0.6328756142205605,0.6430899933713058,0.550977378083248,2941,5
1,select_coverage,3.0,list,0.8332685724858914,0.7240978878803396,0.7282852659470697,0.6583874246400447,9011,0.7823416222616933,0.6328756142205605,0.6430605818631158,0.5510105679640004,2941,5
1,select_coverage,4.0,majority,0.8240170228513276,0.7328873971127113,0.7252154777245954,0.645273111084207,9511,0.7724245115452931,0.6473227249052824,0.6457311315339754,0.5427870060679632,3075,5
1,select_coverage,4.0,cmar,0.8261633823665464,0.7287531095290208,0.7256799592601652,0.6473504504861108,9395,0.7767910005920663,0.6440872186340943,0.64629623471492,0.547942432290842,3016,5
1,select_coverage,4.0,top_k_avg,0.8311222129706726,0.7223610242272681,0.7250743532457884,0.6547986632743658,9127,0.7816015393724097,0.6336137450158401,0.6428531780210479,0.550523598461347,2951,5
1,select_coverage,4.0,list,0.8311592191692109,0.7225307091894764,0.7252065465732797,0.6548888205668913,9125,0.7815275310834814,0.6335761482040497,0.6427655102696556,0.5504221430089712,2952,5
1,select_coverage_CBA_M1,,majority,0.80318253307429,0.5419651913344111,0.5512008770892888,0.5729892994770288,10637,0.7739046773238603,0.5123094833080463,0.5129523033214562,0.499231994571187,3055,5
1,select_coverage_CBA_M1,,cmar,0.8011841983532242,0.5409384586292546,0.5495291642602022,0.5672637030091625,10745,0.7723505032563647,0.5127975662562011,0.5126404612359375,0.4949783786223084,3076,5
1,select_coverage_CBA_M1,,top_k_avg,0.8038116384494403,0.5421723757416871,0.5514906508650516,0.5748164818473698,10603,0.7741267021906454,0.51048653441272,0.5124135977288357,0.500299739174693,3052,5
1,select_coverage_CBA_M1,,list,0.8038486446479786,0.5423022037196162,0.5517579916517475,0.5749175385721643,10601,0.7742007104795737,0.5105865744287265,0.5125085553862228,0.5004905714282781,3051,5
2,select_coverage,1.0,majority,0.8376908132112129,0.7414487879437351,0.7441278710663962,0.6675898548905821,8772,0.7787152161042037,0.6385041442932916,0.646165298466328,0.5456560994546604,2990,5
2,select_coverage,1.0,cmar,0.8373577574243686,0.7368078336266919,0.7426686575907936,0.6656151580963494,8790,0.7810094730609828,0.6366602066424196,0.6463682455964284,0.5485643231310203,2959,5
2,select_coverage,1.0,top_k_avg,0.8427791655102229,0.7333140215459816,0.7441481097056757,0.675101459530857,8497,0.7841918294849023,0.6237985230593762,0.6395255046459448,0.548977800425742,2916,5
2,select_coverage,1.0,list,0.8427976686094921,0.7334187925192251,0.7442253189112914,0.67515015176907,8496,0.7843398460627591,0.6245605919293334,0.6398326807611724,0.5497347769039863,2914,5
2,select_coverage,2.0,majority,0.8309001757794431,0.7372826727415852,0.7345275542858344,0.6563148492870494,9139,0.7764949674363528,0.6418564481223924,0.6456909074184956,0.5451824410359134,3020,5
2,select_coverage,2.0,cmar,0.832343417522435,0.7333192565432238,0.7348082667466272,0.6573705905930853,9061,0.7797513321492007,0.638921315770668,0.6455836037735607,0.5491666276108642,2976,5
2,select_coverage,2.0,top_k_avg,0.8369691923397169,0.7279302131424995,0.7344947345576998,0.6648155051854729,8811,0.7831557134399053,0.6275699856458276,0.6403569044531613,0.5498763728414541,2930,5
2,select_coverage,2.0,list,0.8370061985382552,0.7280998981047078,0.734627518803249,0.6649060437186107,8809,0.783303730017762,0.6283320545157848,0.6406648751174299,0.5506613191356761,2928,5
2,select_coverage,3.0,majority,0.8265704505504672,0.7345258162334205,0.7286718425176257,0.6492704785806368,9373,0.7736086441681468,0.6463205081097222,0.6461729355643347,0.5435721087921443,3059,5
2,select_coverage,3.0,cmar,0.8290313627532612,0.7310337144211748,0.7298421020085968,0.652067941524731,9240,0.7779751332149201,0.6435171648866936,0.6470112200404708,0.5489001369921959,3000,5
2,select_coverage,3.0,top_k_avg,0.8332315662873532,0.7239282029181315,0.7281526138904834,0.6582971513822956,9013,0.7823416222616933,0.6328756142205605,0.6430899933713058,0.550977378083248,2941,5
2,select_coverage,3.0,list,0.8332685724858914,0.7240978878803396,0.7282852659470697,0.6583874246400447,9011,0.78248963883955,0.6336376830905177,0.6433957525120207,0.5517846687519886,2939,5
2,select_coverage,4.0,majority,0.8240170228513276,0.7328873971127113,0.7252154777245954,0.645273111084207,9511,0.7724245115452931,0.6473227249052824,0.6457311315339754,0.5427870060679632,3075,5
2,select_coverage,4.0,cmar,0.8261633823665464,0.7287531095290208,0.7256799592601652,0.6473504504861108,9395,0.7767910005920663,0.6440872186340943,0.64629623471492,0.547942432290842,3016,5
2,select_coverage,4.0,top_k_avg,0.8311222129706726,0.7223610242272681,0.7250743532457884,0.6547986632743658,9127,0.7816015393724097,0.6336137450158401,0.6428531780210479,0.550523598461347,2951,5
2,select_coverage,4.0,list,0.8311592191692109,0.7225307091894764,0.7252065465732797,0.6548888205668913,9125,0.7816755476613381,0.634338217074007,0.6431001252963436,0.5512065640659499,2950,5
2,select_coverage_CBA_M1,,majority,0.80318253307429,0.5419651913344111,0.5512008770892888,0.5729892994770288,10637,0.7739046773238603,0.5124343697164783,0.5130244536891696,0.4992150580400687,3055,5
2,select_coverage_CBA_M1,,cmar,0.8011841983532242,0.5409384586292546,0.5495291642602022,0.5672637030091625,10745,0.7723505032563647,0.5127975662562011,0.5126404612359375,0.4949783786223084,3076,5
2,select_coverage_CBA_M1,,top_k_avg,0.8038116384494403,0.5421723757416871,0.5514906508650516,0.5748164818473698,10603,0.7741267021906454,0.51048653441272,0.5124135977288357,0.500299739174693,3052,5
2,select_coverage_CBA_M1,,list,0.8038486446479786,0.5423022037196162,0.5517579916517475,0.5749175385721643,10601,0.7742747187685021,0.5112486032826772,0.5128095490849924,0.5005216581892871,3050,5
1,select_coverage,1.0,majority,0.8366176334536035,0.7404285363142717,0.743440538917707,0.6656306664740385,8830,0.7795293072824157,0.6345109908638733,0.6425436543272633,0.5446298527952196,2979,14
1,select_coverage,1.0,cmar,0.8374317698214451,0.7379333022364133,0.7442539763663918,0.6659943101029687,8786,0.7812314979277679,0.6325734924939751,0.6419098507486852,0.5468366887058401,2956,14
1,select_coverage,1.0,top_k_avg,0.8423165880284947,0.7346580281366327,0.7455206836441981,0.6745502645982533,8522,0.7862640615748964,0.6235649403141729,0.6389924326907842,0.5509093960542544,2888,14
1,select_coverage,1.0,list,0.8423906004255712,0.7349577594965591,0.7457646851717956,0.6747255661435752,8518,0.7862640615748964,0.6235649403141729,0.6389924326907842,0.5509093960542544,2888,14
1,select_coverage,2.0,majority,0.8303450828013692,0.7364068902522233,0.7343233766769738,0.6551810892187856,9169,0.7759769094138543,0.6383932452518594,0.6421651384790169,0.5419741837207258,3027,14
1,select_coverage,2.0,cmar,0.8320473679341289,0.7337735929346945,0.7356143461794208,0.6569528917234605,9077,0.7786412078152753,0.6356230721473594,0.6414985484805528,0.5454198233574891,2991,14
1,select_coverage,2.0,top_k_avg,0.836839670644833,0.7302164113632766,0.7367124804848623,0.6649403328351284,8818,0.7844878626406158,0.6275154903737988,0.6399284284105003,0.5504784540343503,2912,14
1,select_coverage,2.0,list,0.8369321861411787,0.7305810820049743,0.7370095754606759,0.6651566087558481,8813,0.7844878626406158,0.6275154903737988,0.6399284284105003,0.5504784540343503,2912,14
1,select_coverage,3.0,majority,0.8267924877416968,0.735004042848122,0.7299349154379201,0.6495464811719529,9361,0.7753108348134992,0.6436229278107114,0.6445238051552273,0.5437357385477994,3036,14
1,select_coverage,3.0,cmar,0.8286242945693404,0.7313854257787522,0.730660663302865,0.6512925758010308,9262,0.778789224393132,0.6411358696384685,0.6446828856920547,0.5483013681175208,2989,14
1,select_coverage,3.0,top_k_avg,0.833805162364696,0.7276233599102545,0.731926987625454,0.6597354334563582,8982,0.7840438129070456,0.6319937916016237,0.6425226607930689,0.5516572058874212,2918,14
1,select_coverage,3.0,list,0.8338976778610417,0.7279880305519524,0.732222679457328,0.659951101691665,8977,0.7840438129070456,0.6319937916016237,0.6425226607930689,0.5516572058874212,2918,14
1,select_coverage,4.0,majority,0.8244981034323249,0.7336877682982399,0.7267423505520917,0.6460233273869538,9485,0.7748667850799289,0.6465258346938981,0.6457669966765911,0.5446273765987875,3042,14
1,select_coverage,4.0,cmar,0.826255897862892,0.7300784295777643,0.727343625466776,0.6476016494451226,9390,0.7776791000592066,0.6424303144810969,0.644596320004714,0.5476311873254626,3004,14
1,select_coverage,4.0,top_k_avg,0.8316958090480155,0.7261102198593069,0.7287135476709992,0.6562934128683616,9096,0.7835997631734755,0.6333854387343304,0.6429750759437239,0.5517658191200153,2924,14
1,select_coverage,4.0,list,0.8317883245443611,0.7264748905010047,0.7290078279629544,0.6565086447030579,9091,0.7835997631734755,0.6333854387343304,0.6429750759437239,0.5517658191200153,2924,14
1,select_coverage_CBA_M1,,majority,0.802183365713757,0.5419333758885753,0.550814882488514,0.5711206696541629,10691,0.7776050917702783,0.5152766505536915,0.5134611197721677,0.5042922988779858,3005,14
1,select_coverage_CBA_M1,,cmar,0.8005550929780738,0.5411640444541863,0.5495706867323814,0.5664735642811346,10779,0.7766429840142096,0.51594489201513,0.5131413903908482,0.5017300171104523,3018,14
1,select_coverage_CBA_M1,,top_k_avg,0.8031085206772134,0.5423065276158084,0.5513502658087007,0.573781864124745,10641,0.7788632326820604,0.5139648977204259,0.5132775739906282,0.5079346936948945,2988,14
1,select_coverage_CBA_M1,,list,0.8031270237764826,0.5424114411304201,0.5515956779588068,0.5738348110280023,10640,0.7788632326820604,0.5139648977204259,0.5132775739906282,0.5079346936948945,2988,14
2,select_coverage,1.0,majority,0.8366176334536035,0.7404285363142717,0.743440538917707,0.6656306664740385,8830,0.7794552989934873,0.6344735923074576,0.6424847310965937,0.5444957447027208,2980,14
2,select_coverage,1.0,cmar,0.8374317698214451,0.7379333022364133,0.7442539763663918,0.6659943101029687,8786,0.7812314979277679,0.6325734924939751,0.6419098507486852,0.5468366887058401,2956,14
2,select_coverage,1.0,top_k_avg,0.8423165880284947,0.7346580281366327,0.7455206836441981,0.6745502645982533,8522,0.7862640615748964,0.6235649403141729,0.6389924326907842,0.5509093960542544,2888,14
2,select_coverage,1.0,list,0.8423906004255712,0.7349577594965591,0.7457646851717956,0.6747255661435752,8518,0.7865600947306098,0.6246124188580469,0.6396321782974221,0.5519826507211139,2884,14
2,select_coverage,2.0,majority,0.8303450828013692,0.7364068902522233,0.7343233766769738,0.6551810892187856,9169,0.7759769094138543,0.6383932452518594,0.6421651384790169,0.5419741837207258,3027,14
2,select_coverage,2.0,cmar,0.8320473679341289,0.7337735929346945,0.7356143461794208,0.6569528917234605,9077,0.7786412078152753,0.6356230721473594,0.6414985484805528,0.5454198233574891,2991,14
2,select_coverage,2.0,top_k_avg,0.836839670644833,0.7302164113632766,0.7367124804848623,0.6649403328351284,8818,0.7844878626406158,0.6275154903737988,0.6399284284105003,0.5504784540343503,2912,14
2,select_coverage,2.0,list,0.8369321861411787,0.7305810820049743,0.7370095754606759,0.6651566087558481,8813,0.7847098875074008,0.6285255703612572,0.640504342397369,0.5514435226120947,2909,14
