1,2,3,4,5,6,7,8,9,10
0,23312,30080,30588,36288,35868,38604,39740,42732,44924
0,24328,29904,32940,35632,38112,37484,39988,39676,44764
0,24084,29268,33084,37028,35416,38644,40024,42972,41496
0,25312,31108,31404,39292,38376,39780,39012,41772,42728
0,23248,28012,32476,35236,40136,40048,43928,44084,43996
0,21832,28128,33292,36544,39140,40456,43408,43504,43960
0,22684,28336,33332,34088,37900,39500,43264,44260,43128
0,22936,29632,31732,34500,36648,41780,41244,39376,44612
0,24540,28208,31844,34560,42676,42644,40532,45536,46236
0,25884,28568,31976,35256,39044,35920,42472,43288,43588
0,24416,31080,34720,36620,39972,39064,41804,40000,41456
0,24772,26164,34476,31948,34408,37864,38040,40028,39240
0,22664,28932,32612,35104,35488,42004,43396,41272,44524
0,24152,32156,31968,34968,36820,39796,41952,43832,45496
0,25084,27360,31888,33032,35516,38324,42416,39896,45200
0,23316,28008,33764,36248,36288,40020,39332,39796,40420
0,24600,28776,32024,34664,38224,38460,41520,42680,43704
0,26192,29188,32012,34228,38680,38800,41972,44472,45576
0,25432,31952,35624,35280,40440,39896,43112,42196,46380
0,25128,27544,33552,37264,36212,42556,41300,40396,43644
