1,2,3,4,5,6,7,8,9,10
467,507,429,468,481,451,433,422,435,390
491,483,473,489,519,444,444,468,455,444
446,440,429,440,439,444,430,444,404,392
487,466,452,454,422,441,469,411,416,389
433,466,446,471,458,448,418,442,436,408
414,457,439,463,456,474,452,456,424,416
454,421,473,438,456,460,469,444,404,400
452,465,450,475,488,474,468,426,398,386
464,448,442,461,528,469,508,484,472,424
459,502,466,505,465,489,461,417,421,424
438,457,468,486,437,485,444,402,400,388
452,478,444,466,467,442,463,419,425,393
439,451,434,460,480,484,456,432,449,405
437,503,490,505,510,470,520,494,438,421
450,425,426,465,474,446,460,397,396,386
452,492,479,467,489,476,480,464,449,448
474,487,451,467,452,465,503,437,432,419
483,454,461,462,458,475,412,454,459,433
511,507,477,435,491,486,451,456,419,387
411,494,442,463,488,462,449,435,421,408
