ranking,selection,param,mined,after_pruning,classifier,total_items,no_cov_ant,no_cov_rule,no_matches_train,no_matches_test,seed
1,select_coverage,1.0,313391,313391,310,1230.0,3.0,3.0,3,12,5
1,select_coverage,2.0,313391,313391,585,2342.0,3.0,3.0,3,2,5
1,select_coverage,3.0,313391,313391,850,3421.0,3.0,3.0,3,2,5
1,select_coverage,4.0,313391,313391,1125,4583.0,3.0,3.0,3,1,5
1,select_coverage_CBA_M1,,313391,313391,309,1226.0,4.0,4.0,4,12,5
2,select_coverage,1.0,313391,313391,310,1230.0,3.0,3.0,3,12,5
2,select_coverage,2.0,313391,313391,585,2342.0,3.0,3.0,3,2,5
2,select_coverage,3.0,313391,313391,850,3421.0,3.0,3.0,3,2,5
2,select_coverage,4.0,313391,313391,1125,4583.0,3.0,3.0,3,1,5
2,select_coverage_CBA_M1,,313391,313391,223,969.0,128.0,128.0,128,30,5
1,select_coverage,1.0,300702,300702,311,1235.0,3.0,3.0,3,14,14
1,select_coverage,2.0,300702,300702,585,2368.0,3.0,3.0,3,3,14
1,select_coverage,3.0,300702,300702,867,3513.0,3.0,3.0,3,0,14
1,select_coverage,4.0,300702,300702,1134,4606.0,3.0,3.0,3,0,14
1,select_coverage_CBA_M1,,300702,300702,310,1230.0,4.0,4.0,4,14,14
2,select_coverage,1.0,300702,300702,311,1235.0,3.0,3.0,3,14,14
2,select_coverage,2.0,300702,300702,585,2368.0,3.0,3.0,3,3,14
2,select_coverage,3.0,300702,300702,867,3513.0,3.0,3.0,3,0,14
2,select_coverage,4.0,300702,300702,1134,4606.0,3.0,3.0,3,0,14
2,select_coverage_CBA_M1,,300702,300702,253,1061.0,76.0,76.0,76,21,14
1,select_coverage,1.0,303087,303087,281,1110.0,0.0,0.0,0,11,17
1,select_coverage,2.0,303087,303087,513,2068.0,0.0,0.0,0,3,17
1,select_coverage,3.0,303087,303087,771,3135.0,0.0,0.0,0,1,17
1,select_coverage,4.0,303087,303087,1036,4207.0,0.0,0.0,0,1,17
1,select_coverage_CBA_M1,,303087,303087,276,1095.0,5.0,5.0,5,12,17
2,select_coverage,1.0,303087,303087,281,1110.0,0.0,0.0,0,11,17
2,select_coverage,2.0,303087,303087,513,2068.0,0.0,0.0,0,3,17
2,select_coverage,3.0,303087,303087,771,3135.0,0.0,0.0,0,1,17
2,select_coverage,4.0,303087,303087,1036,4207.0,0.0,0.0,0,1,17
2,select_coverage_CBA_M1,,303087,303087,193,850.0,151.0,151.0,151,36,17
1,select_coverage,1.0,279570,279570,302,1204.0,4.0,4.0,4,8,19
1,select_coverage,2.0,279570,279570,572,2298.0,4.0,4.0,4,3,19
1,select_coverage,3.0,279570,279570,822,3333.0,4.0,4.0,4,1,19
1,select_coverage,4.0,279570,279570,1078,4369.0,4.0,4.0,4,0,19
1,select_coverage_CBA_M1,,279570,279570,302,1204.0,4.0,4.0,4,8,19
2,select_coverage,1.0,279570,279570,302,1204.0,4.0,4.0,4,8,19
2,select_coverage,2.0,279570,279570,572,2298.0,4.0,4.0,4,3,19
2,select_coverage,3.0,279570,279570,822,3333.0,4.0,4.0,4,1,19
2,select_coverage,4.0,279570,279570,1078,4369.0,4.0,4.0,4,0,19
2,select_coverage_CBA_M1,,279570,279570,302,1204.0,4.0,4.0,4,8,19
1,select_coverage,1.0,320966,320966,279,1111.0,1.0,1.0,1,9,29
1,select_coverage,2.0,320966,320966,536,2158.0,1.0,1.0,1,3,29
1,select_coverage,3.0,320966,320966,801,3265.0,1.0,1.0,1,1,29
1,select_coverage,4.0,320966,320966,1076,4431.0,1.0,1.0,1,0,29
1,select_coverage_CBA_M1,,320966,320966,279,1111.0,1.0,1.0,1,9,29
2,select_coverage,1.0,320966,320966,279,1111.0,1.0,1.0,1,9,29
2,select_coverage,2.0,320966,320966,536,2158.0,1.0,1.0,1,3,29
2,select_coverage,3.0,320966,320966,801,3265.0,1.0,1.0,1,1,29
2,select_coverage,4.0,320966,320966,1076,4431.0,1.0,1.0,1,0,29
2,select_coverage_CBA_M1,,320966,320966,279,1111.0,1.0,1.0,1,9,29
