id_uci,nclients,seed,data_name,train_size,number_classes,majority_class,ranking,selection,param,consolidation,round1_n_rules,round1_n_items_antecedent,round2_n_rules,round2_n_items_antecedent,final_nrules,final_total_items,default_class,comm_cost
76,2,5,Nursery,10368,5,not_recom,1,select_coverage,1.0,DAC,686,3081,,,541,2485,not_recom,20572
76,2,5,Nursery,10368,5,not_recom,1,select_coverage,1.0,exact,686,3081,541.0,2485.0,535,2448,not_recom,58064
76,2,5,Nursery,10368,5,not_recom,1,select_coverage,2.0,DAC,1303,6021,,,1007,4784,not_recom,39736
76,2,5,Nursery,10368,5,not_recom,1,select_coverage,2.0,exact,1303,6021,1007.0,4784.0,991,4685,not_recom,110336
76,2,5,Nursery,10368,5,not_recom,1,select_coverage,3.0,DAC,1851,8526,,,1430,6767,recommend,56332
76,2,5,Nursery,10368,5,not_recom,1,select_coverage,3.0,exact,1851,8526,1430.0,6767.0,1410,6641,not_recom,156416
76,2,5,Nursery,10368,5,not_recom,1,select_coverage,4.0,DAC,2258,10378,,,1717,8118,recommend,68624
76,2,5,Nursery,10368,5,not_recom,1,select_coverage,4.0,exact,2258,10378,1717.0,8118.0,1689,7950,not_recom,188240
76,2,5,Nursery,10368,5,not_recom,1,select_coverage_CBA_M1,,DAC,430,2001,,,323,1558,priority,13180
76,2,5,Nursery,10368,5,not_recom,1,select_coverage_CBA_M1,,exact,430,2001,323.0,1558.0,317,1521,priority,35864
76,2,5,Nursery,10368,5,not_recom,2,select_coverage,1.0,exact,686,3081,541.0,2485.0,535,2448,not_recom,58064
76,2,5,Nursery,10368,5,not_recom,2,select_coverage,2.0,exact,1303,6021,1007.0,4784.0,991,4685,not_recom,110336
76,2,5,Nursery,10368,5,not_recom,2,select_coverage,3.0,exact,1851,8527,1431.0,6773.0,1411,6647,not_recom,156516
76,2,5,Nursery,10368,5,not_recom,2,select_coverage,4.0,exact,2259,10384,1718.0,8124.0,1690,7956,not_recom,188360
76,2,5,Nursery,10368,5,not_recom,2,select_coverage_CBA_M1,,exact,430,2001,323.0,1558.0,317,1521,priority,35864
76,2,14,Nursery,10368,5,priority,1,select_coverage,1.0,DAC,708,3162,,,555,2536,priority,21160
76,2,14,Nursery,10368,5,priority,1,select_coverage,1.0,exact,708,3162,555.0,2536.0,550,2503,priority,59484
76,2,14,Nursery,10368,5,priority,1,select_coverage,2.0,DAC,1290,5943,,,996,4720,priority,39268
76,2,14,Nursery,10368,5,priority,1,select_coverage,2.0,exact,1290,5943,996.0,4720.0,986,4656,priority,109124
76,2,14,Nursery,10368,5,priority,1,select_coverage,3.0,DAC,1814,8330,,,1391,6581,recommend,55104
76,2,14,Nursery,10368,5,priority,1,select_coverage,3.0,exact,1814,8330,1390.0,6577.0,1379,6509,priority,152424
76,2,14,Nursery,10368,5,priority,1,select_coverage,4.0,DAC,2247,10292,,,1704,8048,priority,68148
76,2,14,Nursery,10368,5,priority,1,select_coverage,4.0,exact,2247,10292,1702.0,8040.0,1687,7949,priority,186860
76,2,14,Nursery,10368,5,priority,1,select_coverage_CBA_M1,,DAC,448,2066,,,330,1581,priority,13656
76,2,14,Nursery,10368,5,priority,1,select_coverage_CBA_M1,,exact,448,2066,330.0,1581.0,325,1548,priority,36660
76,2,14,Nursery,10368,5,priority,2,select_coverage,1.0,exact,708,3162,555.0,2536.0,550,2503,priority,59484
76,2,14,Nursery,10368,5,priority,2,select_coverage,2.0,exact,1290,5943,996.0,4720.0,986,4656,priority,109124
76,2,14,Nursery,10368,5,priority,2,select_coverage,3.0,exact,1815,8336,1391.0,6583.0,1380,6515,priority,152544
76,2,14,Nursery,10368,5,priority,2,select_coverage,4.0,exact,2248,10298,1703.0,8046.0,1688,7955,priority,186980
