1,2,3,4,5,6,7,8,9,10
0,160,872,1056,988,1192,1012,1372,1744,1460
0,160,360,460,768,724,1284,1188,1540,1636
0,160,588,684,884,784,784,1248,1480,2052
0,160,348,352,500,1000,712,1116,1360,1100
0,160,320,648,468,520,1200,1088,1728,1392
0,304,752,1208,1124,1164,1796,1860,1692,1956
0,316,712,676,1024,840,1088,1140,1304,1556
0,160,896,788,924,1472,896,1020,1456,1276
0,184,404,636,1316,720,1372,1188,968,2092
0,160,240,324,964,1416,1160,1052,1148,2160
0,160,240,492,1116,1136,964,1340,1276,1480
0,160,244,380,848,644,1120,1156,1656,1584
0,160,240,320,1096,1420,1404,1828,2072,1924
0,488,848,1116,940,1460,1620,1716,1964,1784
0,160,612,988,1008,1656,1392,1500,1980,2000
0,160,412,416,496,896,1220,1208,1912,1204
0,160,632,704,980,1264,1088,1412,1892,2116
0,380,896,1364,816,1604,1468,1960,1960,2012
0,820,240,564,912,1248,864,1424,1416,1284
0,160,552,564,724,624,892,1020,1388,1600
