1,2,3,4,5,6,7,8,9,10
265,381,407,395,431,422,412,404,421,428
220,296,459,434,395,458,434,452,460,431
269,297,388,408,422,454,385,455,410,403
272,294,390,407,424,416,392,440,428,415
226,433,449,437,439,430,460,435,435,447
237,290,388,406,404,430,439,427,426,452
262,314,339,431,417,421,430,419,410,409
224,290,400,390,414,450,409,414,440,431
252,389,341,412,435,434,412,466,406,406
273,365,423,448,452,475,410,436,422,420
229,281,383,449,416,406,452,405,429,437
224,264,354,417,367,403,415,435,435,429
232,288,328,437,477,426,424,455,438,407
208,349,320,366,406,425,439,379,442,384
211,332,396,380,430,409,404,404,407,393
227,282,292,369,396,406,404,399,413,384
250,298,434,460,399,432,375,420,426,389
208,380,395,390,420,437,440,410,409,413
266,336,363,371,416,450,432,447,387,412
240,349,358,367,404,404,441,394,432,396
