seed,ranking,selection,param,consolidation,strategy,majority_class,no_matches_test,acc_test,bacc_test,f1_test,mcc_test,erros_test
5,1,select_coverage,1.0,DAC,list,won,0,0.784375,0.7749207467418104,0.77,0.617310799399437,138
5,1,select_coverage,1.0,exact,list,won,0,0.95,0.9489452467613793,0.9497837366000059,0.9004845636184076,32
5,1,select_coverage,2.0,DAC,list,won,0,0.784375,0.7749207467418104,0.77,0.617310799399437,138
5,1,select_coverage,2.0,exact,list,won,0,0.95,0.9488082658212986,0.9497625495506103,0.9007240689594541,32
5,1,select_coverage,3.0,DAC,list,won,0,0.7859375,0.7764177527298344,0.7714756345799483,0.6217966563091646,137
5,1,select_coverage,3.0,exact,list,won,0,0.95,0.948671284881218,0.9497403579036232,0.9009996911643556,32
5,1,select_coverage,4.0,DAC,list,won,0,0.784375,0.7745098039215687,0.7688224393001853,0.6232986147723539,138
5,1,select_coverage,4.0,exact,list,won,0,0.95,0.948671284881218,0.9497403579036232,0.9009996911643556,32
5,1,select_coverage_CBA_M1,,DAC,list,won,1,0.7859375,0.7764177527298344,0.7714756345799483,0.6217966563091646,137
5,1,select_coverage_CBA_M1,,exact,list,won,1,0.9515625,0.9503052718093226,0.9513218426056553,0.9040001323538356,31
14,1,select_coverage,1.0,DAC,list,won,0,0.928125,0.927576220108802,0.9279215755403434,0.856007165508644,46
14,1,select_coverage,1.0,exact,list,won,0,0.95625,0.9563030801142813,0.9561776760473828,0.9123740880030841,28
14,1,select_coverage,2.0,DAC,list,won,0,0.928125,0.927576220108802,0.9279215755403434,0.856007165508644,46
14,1,select_coverage,2.0,exact,list,won,0,0.9609375,0.9606571171382725,0.9608456363685307,0.9217336931173687,25
14,1,select_coverage,3.0,DAC,list,won,0,0.928125,0.927576220108802,0.9279215755403434,0.856007165508644,46
14,1,select_coverage,3.0,exact,list,won,0,0.9625,0.9622911040663771,0.962417421091265,0.924853720841785,24
14,1,select_coverage,4.0,DAC,list,won,0,0.928125,0.927576220108802,0.9279215755403434,0.856007165508644,46
14,1,select_coverage,4.0,exact,list,won,0,0.965625,0.9655590779225862,0.9655590779225862,0.9311181558451724,22
14,1,select_coverage_CBA_M1,,DAC,list,won,0,0.928125,0.927576220108802,0.9279215755403434,0.856007165508644,46
14,1,select_coverage_CBA_M1,,exact,list,won,0,0.95,0.9496301514617823,0.949874686716792,0.8998239479370592,32
17,1,select_coverage,1.0,DAC,list,won,2,0.8828125,0.8779989041524794,0.8801722523871934,0.7806985024838308,75
17,1,select_coverage,1.0,exact,list,won,2,0.9640625,0.9632401862940785,0.9639285530497772,0.9284309602509859,23
17,1,select_coverage,2.0,DAC,list,won,2,0.8796875,0.8747309302962702,0.8768587999230368,0.7752767990907365,77
17,1,select_coverage,2.0,exact,list,won,2,0.965625,0.9647371922821024,0.9654901960784315,0.9316647360982286,22
17,1,select_coverage,3.0,DAC,list,won,1,0.878125,0.8730969433681657,0.8751987519875198,0.772571973644052,78
17,1,select_coverage,3.0,exact,list,won,1,0.96875,0.9677312042581503,0.9686148353750037,0.9381650265716667,20
17,1,select_coverage,4.0,DAC,list,won,1,0.878125,0.8730969433681657,0.8751987519875198,0.772571973644052,78
17,1,select_coverage,4.0,exact,list,won,1,0.96875,0.9677312042581503,0.9686148353750037,0.9381650265716667,20
17,1,select_coverage_CBA_M1,,DAC,list,won,3,0.8796875,0.8747309302962702,0.8768587999230368,0.7752767990907365,77
17,1,select_coverage_CBA_M1,,exact,list,won,3,0.959375,0.9580642636296035,0.9591640407966939,0.9198622108677267,26
19,1,select_coverage,1.0,DAC,list,won,0,0.7875,0.7779147587178584,0.7729525558488716,0.6263086401703555,136
19,1,select_coverage,1.0,exact,list,won,0,0.95,0.9490822277014599,0.9498039215686274,0.9002810235680766,32
19,1,select_coverage,2.0,DAC,list,won,0,0.7875,0.7779147587178584,0.7729525558488716,0.6263086401703555,136
19,1,select_coverage,2.0,exact,list,won,0,0.946875,0.946088215725412,0.9466870510295082,0.8938396509596289,34
19,1,select_coverage,3.0,DAC,list,won,0,0.7875,0.7779147587178584,0.7729525558488716,0.6263086401703555,136
19,1,select_coverage,3.0,exact,list,won,0,0.95,0.9490822277014599,0.9498039215686274,0.9002810235680766,32
19,1,select_coverage,4.0,DAC,list,won,0,0.7875,0.7779147587178584,0.7729525558488716,0.6263086401703555,136
19,1,select_coverage,4.0,exact,list,won,0,0.95,0.9490822277014599,0.9498039215686274,0.9002810235680766,32
19,1,select_coverage_CBA_M1,,DAC,list,won,0,0.7875,0.7779147587178584,0.7729525558488716,0.6263086401703555,136
19,1,select_coverage_CBA_M1,,exact,list,won,0,0.9375,0.9357363703964621,0.9370846604537769,0.8768426911851581,40
29,1,select_coverage,1.0,DAC,list,won,1,0.9046875,0.9004637783257016,0.9028930604853855,0.8218308333725975,61
29,1,select_coverage,1.0,exact,list,won,1,0.9703125,0.9693651911862549,0.9701901603014325,0.941187765781672,19
29,1,select_coverage,2.0,DAC,list,won,1,0.90625,0.9020977652538061,0.9045260614016768,0.824568476947814,60
29,1,select_coverage,2.0,exact,list,won,1,0.9703125,0.9693651911862549,0.9701901603014325,0.941187765781672,19
29,1,select_coverage,3.0,DAC,list,won,1,0.90625,0.9020977652538061,0.9045260614016768,0.824568476947814,60
29,1,select_coverage,3.0,exact,list,won,1,0.96875,0.9677312042581503,0.9686148353750037,0.9381650265716667,20
29,1,select_coverage,4.0,DAC,list,won,1,0.90625,0.9020977652538061,0.9045260614016768,0.824568476947814,60
29,1,select_coverage,4.0,exact,list,won,1,0.96875,0.9677312042581503,0.9686148353750037,0.9381650265716667,20
29,1,select_coverage_CBA_M1,,DAC,list,won,1,0.903125,0.898829791397597,0.9012581621277274,0.8190980069577891,62
29,1,select_coverage_CBA_M1,,exact,list,won,1,0.96875,0.9674572423779891,0.9685877236897645,0.9387247305710976,20
31,1,select_coverage,1.0,DAC,list,won,0,0.7921875,0.7852823764236234,0.784217344240768,0.6062740951547669,133
31,1,select_coverage,1.0,exact,list,won,0,0.9703125,0.970050095886658,0.9702426836400833,0.9405282035439246,19
31,1,select_coverage,2.0,DAC,list,won,0,0.790625,0.7836483894955188,0.7824587036811559,0.6035321213898098,134
31,1,select_coverage,2.0,exact,list,won,0,0.9703125,0.970050095886658,0.9702426836400833,0.9405282035439246,19
31,1,select_coverage,3.0,DAC,list,won,0,0.790625,0.7836483894955188,0.7824587036811559,0.6035321213898098,134
31,1,select_coverage,3.0,exact,list,won,0,0.9703125,0.9701870768267387,0.9702514195406096,0.9405075958638086,19
31,1,select_coverage,4.0,DAC,list,won,0,0.790625,0.7836483894955188,0.7824587036811559,0.6035321213898098,134
31,1,select_coverage,4.0,exact,list,won,0,0.975,0.9746780947908105,0.974937343358396,0.9499512340649017,16
31,1,select_coverage_CBA_M1,,DAC,list,won,2,0.8421875,0.8375699581229697,0.8389311246165769,0.694911249028025,101
31,1,select_coverage_CBA_M1,,exact,list,won,2,0.9640625,0.9629662244139172,0.9638995367270712,0.9288680881323432,23
34,1,select_coverage,1.0,DAC,list,won,1,0.9421875,0.9407753121208563,0.9418740227447342,0.8854272890372229,37
34,1,select_coverage,1.0,exact,list,won,1,0.953125,0.952350201557669,0.9529591626730956,0.9063869701519031,30
34,1,select_coverage,2.0,DAC,list,won,1,0.94375,0.9424092990489609,0.9434579026415761,0.8884246780287749,36
34,1,select_coverage,2.0,exact,list,won,1,0.953125,0.9524871824977497,0.9529762138014812,0.9062521268249455,30
34,1,select_coverage,3.0,DAC,list,won,1,0.94375,0.9424092990489609,0.9434579026415761,0.8884246780287749,36
34,1,select_coverage,3.0,exact,list,won,1,0.9546875,0.9539841884857736,0.9545355448263361,0.909451167884918,29
34,1,select_coverage,4.0,DAC,list,won,1,0.94375,0.9424092990489609,0.9434579026415761,0.8884246780287749,36
34,1,select_coverage,4.0,exact,list,won,1,0.95625,0.9556181754138782,0.9561111328813825,0.9125229541523681,28
34,1,select_coverage_CBA_M1,,DAC,list,won,1,0.9421875,0.9407753121208563,0.9418740227447342,0.8854272890372229,37
34,1,select_coverage_CBA_M1,,exact,list,won,1,0.953125,0.952350201557669,0.9529591626730956,0.9063869701519031,30
42,1,select_coverage,1.0,DAC,list,won,0,0.8875,0.8849555790380024,0.8864342116937273,0.7779759991656428,72
42,1,select_coverage,1.0,exact,list,won,0,0.9671875,0.9667821220304489,0.9671000291301826,0.9343187393007363,21
42,1,select_coverage,2.0,DAC,list,won,0,0.8515625,0.8469629368713554,0.8484995726591564,0.7142473494038665,95
42,1,select_coverage,2.0,exact,list,won,0,0.9640625,0.9635141481742397,0.963954698500153,0.9281414185689277,23
42,1,select_coverage,3.0,DAC,list,won,0,0.8453125,0.840426989158937,0.8418273731510953,0.7030995003473695,99
42,1,select_coverage,3.0,exact,list,won,0,0.9640625,0.9635141481742397,0.963954698500153,0.9281414185689277,23
42,1,select_coverage,4.0,DAC,list,won,0,0.8453125,0.840426989158937,0.8418273731510953,0.7030995003473695,99
42,1,select_coverage,4.0,exact,list,won,0,0.9640625,0.9635141481742397,0.963954698500153,0.9281414185689277,23
42,1,select_coverage_CBA_M1,,DAC,list,won,1,0.88125,0.8771868028648585,0.879168488413689,0.7723570650388972,76
42,1,select_coverage_CBA_M1,,exact,list,won,1,0.9625,0.9617431803060545,0.9623673301384764,0.9252079489403142,24
49,1,select_coverage,1.0,DAC,list,won,0,0.9296875,0.9275664357559391,0.9291253128452988,0.8621331623162664,45
49,1,select_coverage,1.0,exact,list,won,0,0.953125,0.9522132206175884,0.9529411764705882,0.906557766074107,30
49,1,select_coverage,2.0,DAC,list,won,0,0.9296875,0.9275664357559391,0.9291253128452988,0.8621331623162664,45
49,1,select_coverage,2.0,exact,list,won,0,0.946875,0.9459512347853314,0.9466666666666667,0.8940042810620461,34
49,1,select_coverage,3.0,DAC,list,won,0,0.9296875,0.9275664357559391,0.9291253128452988,0.8621331623162664,45
49,1,select_coverage,3.0,exact,list,won,0,0.9484375,0.947585221713436,0.9482453152453324,0.8970551119797519,33
49,1,select_coverage,4.0,DAC,list,won,0,0.9296875,0.9275664357559391,0.9291253128452988,0.8621331623162664,45
49,1,select_coverage,4.0,exact,list,won,0,0.9484375,0.947585221713436,0.9482453152453324,0.8970551119797519,33
49,1,select_coverage_CBA_M1,,DAC,list,won,4,0.9296875,0.9275664357559391,0.9291253128452988,0.8621331623162664,45
49,1,select_coverage_CBA_M1,,exact,list,won,4,0.9109375,0.9078216116786035,0.9098277383521316,0.8281054246415844,57
63,1,select_coverage,1.0,DAC,list,won,1,0.8640625,0.8672948221204649,0.8638867091531788,0.7388417401092611,87
63,1,select_coverage,1.0,exact,list,won,1,0.9625,0.9613322374858126,0.9623219121629577,0.9258587279581046,24
63,1,select_coverage,2.0,DAC,list,won,0,0.8609375,0.8640268482642558,0.8607876155724303,0.7317466642995252,89
63,1,select_coverage,2.0,exact,list,won,0,0.959375,0.9582012445696841,0.9591820715098709,0.919575063208442,26
63,1,select_coverage,3.0,DAC,list,won,0,0.8609375,0.8640268482642558,0.8607876155724303,0.7317466642995252,89
63,1,select_coverage,3.0,exact,list,won,0,0.959375,0.9582012445696841,0.9591820715098709,0.919575063208442,26
63,1,select_coverage,4.0,DAC,list,won,0,0.8609375,0.8640268482642558,0.8607876155724303,0.7317466642995252,89
63,1,select_coverage,4.0,exact,list,won,0,0.9609375,0.9598352314977887,0.960760366007686,0.9225862488736761,25
63,1,select_coverage_CBA_M1,,DAC,list,won,1,0.8640625,0.8672948221204649,0.8638867091531788,0.7388417401092611,87
63,1,select_coverage_CBA_M1,,exact,list,won,1,0.959375,0.9580642636296035,0.9591640407966939,0.9198622108677267,26
64,1,select_coverage,1.0,DAC,list,won,0,0.8171875,0.8095084341121679,0.8086745448738422,0.6680217416975864,117
64,1,select_coverage,1.0,exact,list,won,0,0.9625,0.9614692184258933,0.9623378024500044,0.9256048722539136,24
64,1,select_coverage,2.0,DAC,list,won,0,0.8171875,0.8095084341121679,0.8086745448738422,0.6680217416975864,117
64,1,select_coverage,2.0,exact,list,won,0,0.9609375,0.9598352314977887,0.960760366007686,0.9225862488736761,25
64,1,select_coverage,3.0,DAC,list,won,0,0.8171875,0.8095084341121679,0.8086745448738422,0.6680217416975864,117
64,1,select_coverage,3.0,exact,list,won,0,0.965625,0.9647371922821024,0.9654901960784315,0.9316647360982286,22
64,1,select_coverage,4.0,DAC,list,won,0,0.8171875,0.8095084341121679,0.8086745448738422,0.6680217416975864,117
64,1,select_coverage,4.0,exact,list,won,0,0.965625,0.9647371922821024,0.9654901960784315,0.9316647360982286,22
64,1,select_coverage_CBA_M1,,DAC,list,won,2,0.8171875,0.8095084341121679,0.8086745448738422,0.6680217416975864,117
64,1,select_coverage_CBA_M1,,exact,list,won,2,0.95,0.9481233611208955,0.9496414906905607,0.9024668559920453,32
65,1,select_coverage,1.0,DAC,list,won,0,0.8125,0.8044694923877735,0.803076923076923,0.6618193049367619,120
65,1,select_coverage,1.0,exact,list,won,0,0.975,0.9742671519705687,0.974911553425651,0.9503025873248625,16
65,1,select_coverage,2.0,DAC,list,won,0,0.8078125,0.7994305506633791,0.7974136267129898,0.6557538941173802,123
65,1,select_coverage,2.0,exact,list,won,0,0.975,0.9742671519705687,0.974911553425651,0.9503025873248625,16
65,1,select_coverage,3.0,DAC,list,won,0,0.8078125,0.7994305506633791,0.7974136267129898,0.6557538941173802,123
65,1,select_coverage,3.0,exact,list,won,0,0.975,0.9744041329106493,0.97492064736079,0.9501479181169032,16
65,1,select_coverage,4.0,DAC,list,won,0,0.8078125,0.7994305506633791,0.7974136267129898,0.6557538941173802,123
